time	I(L1)
0.000000000000000e+000	0.000000e+000
3.652000812008711e-011	-5.526680e-010
7.304001624017423e-011	-2.207816e-009
1.095600243602614e-010	-4.965443e-009
1.460800324803485e-010	-8.825550e-009
1.826000406004356e-010	-1.378814e-008
2.191200487205227e-010	-1.985320e-008
2.556400568406097e-010	-2.702075e-008
5.084798861832900e-010	-8.657241e-008
6.075967002638440e-010	-1.245647e-007
7.208730592130485e-010	-1.747243e-007
7.734472821015910e-010	-2.008753e-007
8.785957278786761e-010	-2.600540e-007
1.000000000000000e-009	-3.340294e-007
4.556468586671461e-007	-2.999700e-004
9.102937173342921e-007	-5.938391e-004
1.364940576001438e-006	-8.819413e-004
1.819587434668584e-006	-1.164277e-003
2.274234293335730e-006	-1.440845e-003
2.728881152002877e-006	-1.711646e-003
3.183528010670022e-006	-1.976681e-003
5.554925740946906e-006	-3.278646e-003
8.810134074280236e-006	-4.850077e-003
1.206534240761357e-005	-6.170739e-003
1.532055074094690e-005	-7.225431e-003
1.857575907428023e-005	-8.021906e-003
2.183096740761356e-005	-8.572225e-003
2.508617574094689e-005	-8.892057e-003
2.834138407428022e-005	-8.999964e-003
3.159659240761355e-005	-8.916732e-003
3.485180074094687e-005	-8.664703e-003
3.810700907428020e-005	-8.267172e-003
4.136221740761353e-005	-7.747812e-003
4.461742574094685e-005	-7.130163e-003
4.787263407428018e-005	-6.437178e-003
5.112784240761351e-005	-5.690829e-003
5.438305074094684e-005	-4.911773e-003
5.763825907428016e-005	-4.119085e-003
6.089346740761349e-005	-3.330045e-003
6.414867574094682e-005	-2.559994e-003
6.740388407428015e-005	-1.822231e-003
7.065909240761348e-005	-1.127973e-003
7.391430074094681e-005	-4.863563e-004
7.716950907428013e-005	9.552250e-005
8.042471740761346e-005	6.125253e-004
8.367992574094679e-005	1.061364e-003
8.693513407428011e-005	1.440465e-003
9.019034240761344e-005	1.749815e-003
9.344555074094677e-005	1.990796e-003
9.670075907428010e-005	2.166001e-003
9.995596740761342e-005	2.279053e-003
1.032111757409468e-004	2.334427e-003
1.064663840742801e-004	2.337258e-003
1.097215924076134e-004	2.293177e-003
1.129768007409467e-004	2.208140e-003
1.162320090742801e-004	2.088274e-003
1.194872174076134e-004	1.939739e-003
1.227424257409467e-004	1.768600e-003
1.259976340742800e-004	1.580715e-003
1.292528424076134e-004	1.381643e-003
1.325080507409467e-004	1.176564e-003
1.357632590742800e-004	9.702184e-004
1.390184674076134e-004	7.668568e-004
1.422736757409467e-004	5.702116e-004
1.455288840742800e-004	3.834773e-004
1.487840924076133e-004	2.093048e-004
1.520393007409467e-004	4.980779e-005
1.552945090742800e-004	-9.342156e-005
1.585497174076133e-004	-2.192877e-004
1.618049257409466e-004	-3.271598e-004
1.650601340742800e-004	-4.168342e-004
1.683153424076133e-004	-4.884922e-004
1.715705507409466e-004	-5.426546e-004
1.748257590742800e-004	-5.801347e-004
1.780809674076133e-004	-6.019907e-004
1.813361757409466e-004	-6.094775e-004
1.845913840742799e-004	-6.040008e-004
1.878465924076133e-004	-5.870728e-004
1.911018007409466e-004	-5.602704e-004
1.943570090742799e-004	-5.251965e-004
1.976122174076132e-004	-4.834457e-004
2.008674257409466e-004	-4.365732e-004
2.041226340742799e-004	-3.860678e-004
2.073778424076132e-004	-3.333297e-004
2.106330507409466e-004	-2.796524e-004
2.138882590742799e-004	-2.262076e-004
2.171434674076132e-004	-1.740360e-004
2.203986757409465e-004	-1.240401e-004
2.236538840742799e-004	-7.698141e-005
2.269090924076132e-004	-3.348040e-005
2.301643007409465e-004	5.980520e-006
2.334195090742798e-004	4.105170e-005
2.366747174076132e-004	7.150887e-005
2.399299257409465e-004	9.724402e-005
2.431851340742798e-004	1.182550e-004
2.464403424076132e-004	1.346341e-004
2.496955507409465e-004	1.465561e-004
2.529507590742799e-004	1.542654e-004
2.562059674076132e-004	1.580643e-004
2.594611757409466e-004	1.583002e-004
2.627163840742799e-004	1.553541e-004
2.659715924076133e-004	1.496289e-004
2.692268007409467e-004	1.415397e-004
2.724820090742800e-004	1.315036e-004
2.757372174076134e-004	1.199313e-004
2.789924257409467e-004	1.072199e-004
2.822476340742801e-004	9.374617e-005
2.855028424076134e-004	7.986122e-005
2.887580507409468e-004	6.588646e-005
2.920132590742801e-004	5.211024e-005
2.952684674076135e-004	3.878581e-005
2.985236757409468e-004	2.612994e-005
3.017788840742802e-004	1.432267e-005
3.050340924076136e-004	3.507585e-006
3.082893007409469e-004	-6.207025e-006
3.115445090742803e-004	-1.474654e-005
3.147997174076136e-004	-2.206786e-005
3.180549257409470e-004	-2.815682e-005
3.213101340742803e-004	-3.302536e-005
3.245653424076137e-004	-3.670849e-005
3.278205507409470e-004	-3.926106e-005
3.310757590742804e-004	-4.075450e-005
3.343309674076137e-004	-4.127366e-005
3.375861757409471e-004	-4.091362e-005
3.408413840742805e-004	-3.977671e-005
3.440965924076138e-004	-3.796969e-005
3.473518007409472e-004	-3.560109e-005
3.506070090742805e-004	-3.277892e-005
3.538622174076139e-004	-2.960854e-005
3.571174257409472e-004	-2.619086e-005
3.603726340742806e-004	-2.262079e-005
3.636278424076139e-004	-1.898600e-005
3.668830507409473e-004	-1.536599e-005
3.701382590742806e-004	-1.183134e-005
3.733934674076140e-004	-8.443281e-006
3.766486757409474e-004	-5.253522e-006
3.799038840742807e-004	-2.304204e-006
3.831590924076141e-004	3.718835e-007
3.864143007409474e-004	2.750947e-006
3.896695090742808e-004	4.817693e-006
3.929247174076141e-004	6.564707e-006
3.961799257409475e-004	7.991755e-006
3.994351340742808e-004	9.105010e-006
4.026903424076142e-004	9.916229e-006
4.059455507409475e-004	1.044192e-005
4.092007590742809e-004	1.070251e-005
4.124559674076142e-004	1.072149e-005
4.157111757409476e-004	1.052462e-005
4.189663840742810e-004	1.013919e-005
4.222215924076143e-004	9.593296e-006
4.254768007409477e-004	8.915184e-006
4.287320090742810e-004	8.132685e-006
4.319872174076144e-004	7.272700e-006
4.352424257409477e-004	6.360763e-006
4.384976340742811e-004	5.420680e-006
4.417528424076144e-004	4.474244e-006
4.450080507409478e-004	3.541013e-006
4.482632590742811e-004	2.638168e-006
4.515184674076145e-004	1.780424e-006
4.547736757409479e-004	9.800026e-007
4.580288840742812e-004	2.466620e-007
4.612840924076146e-004	-4.122345e-007
4.645393007409479e-004	-9.916047e-007
4.677945090742813e-004	-1.488502e-006
4.710497174076146e-004	-1.901944e-006
4.743049257409480e-004	-2.232717e-006
4.775601340742813e-004	-2.483172e-006
4.808153424076147e-004	-2.657008e-006
4.840705507409480e-004	-2.759049e-006
4.873257590742814e-004	-2.795031e-006
4.905809674076148e-004	-2.771385e-006
4.938361757409481e-004	-2.695036e-006
4.970913840742814e-004	-2.573209e-006
5.003465924076147e-004	-2.413255e-006
5.036018007409480e-004	-2.222491e-006
5.068570090742813e-004	-2.008054e-006
5.133674257409479e-004	-1.535109e-006
5.198778424076145e-004	-1.043783e-006
5.231330507409478e-004	-8.043090e-007
5.263882590742811e-004	-5.747126e-007
5.296434674076144e-004	-3.585033e-007
5.328986757409477e-004	-1.585436e-007
5.361538840742810e-004	2.293772e-008
5.394090924076143e-004	1.843216e-007
5.426643007409476e-004	3.245650e-007
5.459195090742809e-004	4.431592e-007
5.491747174076142e-004	5.400823e-007
5.524299257409475e-004	6.157469e-007
5.556851340742808e-004	6.709448e-007
5.589403424076141e-004	7.067903e-007
5.621955507409474e-004	7.246629e-007
5.654507590742807e-004	7.261513e-007
5.687059674076140e-004	7.129988e-007
5.719611757409473e-004	6.870522e-007
5.752163840742806e-004	6.502136e-007
5.784715924076139e-004	6.043962e-007
5.817268007409472e-004	5.514852e-007
5.882372174076138e-004	4.315816e-007
5.980028424076137e-004	2.406177e-007
6.012580507409470e-004	1.794424e-007
6.045132590742803e-004	1.213094e-007
6.077684674076136e-004	6.704861e-008
6.110236757409469e-004	1.732300e-008
6.142788840742802e-004	-2.736669e-008
6.175340924076135e-004	-6.667434e-008
6.207893007409468e-004	-1.003986e-007
6.240445090742801e-004	-1.284712e-007
6.272997174076134e-004	-1.509440e-007
6.305549257409467e-004	-1.679749e-007
6.338101340742800e-004	-1.798132e-007
6.370653424076133e-004	-1.867848e-007
6.403205507409466e-004	-1.892774e-007
6.435757590742799e-004	-1.877260e-007
6.468309674076132e-004	-1.825991e-007
6.533413840742798e-004	-1.635844e-007
6.598518007409464e-004	-1.361859e-007
6.631070090742797e-004	-1.196815e-007
6.663622174076130e-004	-1.033584e-007
6.696174257409463e-004	-8.721662e-008
6.728726340742796e-004	-7.125624e-008
6.761278424076129e-004	-5.547721e-008
6.793830507409462e-004	-3.987955e-008
6.826382590742795e-004	-2.446323e-008
6.891486757409461e-004	1.400989e-009
6.956590924076127e-004	2.186490e-008
7.021695090742793e-004	3.649832e-008
7.086799257409459e-004	4.539673e-008
7.151903424076125e-004	4.906644e-008
